row_id,tokens,relation,head_pos,tail_pos
1244,"In 2014 , Shiroyan decided to take part in season four of "" The Voice of Ukraine "" , auditioning with the Polish song "" Dziwny jest ten świat "" by Czesław Niemen .",performer,25 26 27 28,31 32
647,"The name "" Loy "" is a homage to the character Sam Spade from "" The Maltese Falcon "" : a loy is a traditional Irish spade .",characters,14 15 16 17 18,11 12
164,"At the age of 16 , he co - wrote The Jacksons ' most successful single on Epic , "" Shake Your Body ( Down to the Ground ) "" with Michael .",performer,20 21 22 23 24 25 26 27 28,10 11
126,"She played one of the two lead roles in Helena Bergström 's directorial debut "" Mind the Gap "" as the daughter Yasmin .",director,15 16 17,9 10
1441,"Hatton was picked up for a contract with Ubisoft , appearing in their "" Just Dance 4 "" game for Xbox commercial .",publisher,14 15 16,8
1716,"The journal "" Molecules "" was established in 1996 in collaboration with Springer - Verlag ( now Springer Science+Business Media ) in order to document the chemical samples of the MDPI collection .",publisher,2 3 4,30
66,"In 1982 , the novel was adapted to the film "" Monkey Grip "" directed by Ken Cameron from his own screenplay .",director,11 12,16 17
382,"The Office of the Federal Register publishes the "" Federal Register "" , "" Code of Federal Regulations "" , and "" United States Statutes at Large "" , among others .",publisher,14 15 16 17,1 2 3 4 5
2070,""" ' Til You Cry "" is a song written by Steve Bogard and Rick Giles , and recorded by American country music artist Eddy Raven .",performer,1 2 3 4,24 25
907,"Ozma appears briefly in Barry Mahon 's 1969 "" The Wonderful Land of Oz "" , portrayed by Joy Webb .",director,9 10 11 12 13,4 5
2178,"Bruce Springsteen opened the first night of the Festival performing , out of competition , the song "" The Ghost of Tom Joad "" .",performer,18 19 20 21 22,0 1
208,"By April 2008 , Zinta had completed shooting for Jahnu Barua 's drama "" Har Pal "" .",director,14 15,9 10
1125,"He also starred in the war - thriller film "" Man Down "" directed by Dito Montiel alongside Gary Oldman and Kate Mara .",director,10 11,15 16
2749,Valerie Inside Outside ( Italian : Valeria dentro e fuori ) is a 1972 Italian drama film written and directed by Brunello Rondi .,director,6 7 8 9,21 22
941,"In 1968 , Vanilla Fudge included it on the 1968 album "" The Beat Goes On "" .",performer,12 13 14 15,3 4
369,"He provided consultation to Jimmy Cheatham while the latter headed the jazz program at UCSD , and to Ken Burns while he was developing his documentary television series "" Jazz "" .",director,11,18 19
1168,"In the 2004 film "" Downfall "" , Kretschmann played Hermann Fegelein , a Waffen - SS General and brother - in - law to Eva Braun .",characters,4 5 6,10 11
1751,"The last two seasons of "" The West Wing "" , which follow the presidential campaigns of Matt Santos and Arnold Vinick , were inspired in part by scenes in "" Journeys "" .",characters,6 7 8,17 18
1773,"From 1987 to 1996 , Coleman voiced his most popular character ; Michelangelo in "" Teenage Mutant Ninja Turtles "" .",characters,15 16 17 18,12
104,"She made her film debut as Daisy Duke in the film adaption of "" The Dukes of Hazzard "" ( 2005 ) ; it was commercially successful , though received a negative critical reaction .",characters,14 15 16 17,6 7
1382,"In "" Madden NFL 2005 "" , EA Sports ran a campaign with the Theme "" Fear the D "" emphasising their improvements on the "" other side of the ball . """,publisher,2 3 4,7 8
2385,""" Game Boy Wars 2 "" , the second of the "" Game Boy Wars "" sequels by Hudson Soft , was released on November 20 , .",publisher,1 2 3,18 19
360,"McCamus ' most noted film role is that of struggling actor Henry Adler in "" I Love a Man in Uniform "" ( 1993 ) , directed by David Wellington .",director,15 16 17 18 19 20,28 29
1666,"The music video features a cameo by MBLAQ 's Lee Joon . HyunA releases "" Bubble Pop ! """,performer,15 16 17,12
16,"Teki Paki , in full , is an arcade game , released in 1991 by Toaplan in Japan and Romstar in the USA .",publisher,0 1,15
1407,"Director Kevin Macdonald and producer Ridley Scott also created "" Christmas in a Day "" ( November 2013 ) a 48-minute YouTube documentary on which a 3.5-minute advertisement for UK supermarket Sainsbury 's was based .",director,10 11 12 13,1 2
1022,"At the end of "" Sonic the Hedgehog 2 "" , Sonic and Tails fly over the ocean in Tails ' biplane , the Tornado , after defeating Doctor Eggman .",characters,5 6 7 8,28 29
1349,"In previews , the game 's control scheme was lauded by Joystiq.com as enticing , and they and several other reviewers compared the controls to Nintendo 's Super Mario Galaxy .",publisher,27 28 29,25
1189,"Waka Kakitsubata launched the manga in Media Factory 's "" josei "" manga magazine "" Monthly Comic Gene "" in June 2013 .",publisher,15 16 17,6 7
406,""" AIA Guide to New York City "" ( Fifth edition ) New York , Oxford University Press ( 2010:81 , 83 ) .",publisher,1 2 3 4 5 6,15 16 17
1276,"Peter Clemenza is a fictional character appearing in Mario Puzo 's novel "" The Godfather "" and two of the three films based on it .",characters,13 14,0 1
2398,""" Space Ace "" , another Don Bluth animated game released by Cinematronics the following year , also featured a similar branching formula .",publisher,1 2,12
2139,"At the end of the text Zeus rapes his mother Rhea , which , in the Orphic theogony , will lead to the birth of Demeter .",characters,17,10
1512,"In the 1953 movie "" Tokyo Story "" directed by Yasujirō Ozu , the temple is prominently featured as a place near the residence of the elderly couple , Shūkichi and Tomi .",director,5 6,10 11
1179,"Six years after the previous film , Glen , the son of Chucky and Tiffany , has a nightmare in which he murders a little girl 's parents .",characters,3 4 5,12
1741,"It was later gathered together with "" Conan the Liberator "" and "" Conan and the Spider God "" into the omnibus collection "" Sagas of Conan "" ( Tor Books , January 2004 ) .",publisher,24 25 26,29 30
2313,"Other films include "" The Forgotten "" , starring Julianne Moore , and John August 's directing debut , "" The Nines "" , starring Ryan Reynolds , Melissa McCarthy and Hope Davis .",director,20 21,13 14
1162,"Besides their concerts and fan meetings , Epik High also performed "" Born Hater "" in various awards shows and end - of - year celebrations .",performer,12 13,7 8
1458,The Treasure of Bird Island ( ) is a 1953 Czechoslovak animated film directed by Karel Zeman .,director,1 2 3 4,15 16
1994,"The first album released would be Joe Budden 's "" No Love Lost "" on February 5 , 2013 under E1 Music .",performer,10 11 12,6 7
930,""" Interview with My Prairie Home Director Chelsea McMullan "" .",director,3 4 5,7 8
1149,"Antichrist Superstar is the second studio album by American rock band Marilyn Manson , released on October 8 , 1996 by Nothing and Interscope Records .",performer,0 1,11 12
337,"She is perhaps best known for her role as Bond girl Tiffany Case in "" Diamonds Are Forever "" ( 1971 ) .",characters,15 16 17,11 12
2008,"Ulysses Paxton is a fictional character created by Edgar Rice Burroughs in his novel "" The Master Mind of Mars "" .",characters,15 16 17 18 19,0 1
258,"Puffin Books released the first novel in the series , titled "" The Enemy "" , in the UK on 3 September 2009 ; Disney Hyperion released it in the US on 11 May 2010 .",publisher,12 13,0 1
924,"In his second form , Bob resembles Baron Vladimir Harkonnen from the original 1984 "" Dune "" film .",characters,14 15 16 17,7 8 9
532,"She sent a letter to Smith through producer Ross Robinson , who produced The Cure 's 2004 self - titled album .",performer,17 18 19 20,13 14
2188,"In February 2016 , Head Wound City announced they were releasing a new album titled , "" A New Wave of Violence "" .",performer,17 18 19 20 21,4 5 6
2659,"Mario is the main character of "" The Thousand - Year Door "" , although the story also rotates between portions where you play briefly as Princess Peach and Bowser .",characters,7 8 9 10 11,26 27
1565,"Initially , Night School Studio did not know exactly what they wanted the music of "" Oxenfree "" to sound like .",publisher,16,2 3 4
111,"Darth Maul ( Ray Park ) pilots a Sith infiltrator , named "" Scimitar "" , in "" The Phantom Menace "" .",characters,18 19 20,0 1
663,"The cover resembles Section 25 's "" From the Hip "" .",performer,7 8 9,3 4
811,Christmas in Vienna II is a 1994 album released by Dionne Warwick and Spanish tenor Plácido Domingo for the Sony Classical label .,performer,0 1 2,15 16
736,"Other film roles included "" M "" ( 1951 ) , a remake of Fritz Lang 's 1931 classic .",director,17 18,14 15
546,"For instance , this Storm has been knocked out or incapacitated numerous times more often than other X - Men of the show to focus more on Wolverine .",characters,17 18 19,4
1618,"In 2002/2003 he co - wrote the song "" From Paris to Berlin "" , which was released by the Danish dance - pop duo Infernal in 2004 .",performer,9 10 11 12,25
1771,"In October 1963 , Nelson sang "" Pretty Paper "" for Foster , who impressed decided to forward the song to Roy Orbison in London .",performer,7 8,21 22
1696,"Erick Onasis is the third studio album from American hip hop artist Erick Sermon ( under the moniker Erick Onasis ) , released June 27 , 2000 on DreamWorks Records .",performer,0 1,12 13
2168,"Set after the events of "" Batman Beyond : Return of the Joker "" , Tim Drake serves as a supporting character in the ongoing "" Batman Beyond "" comic book series .",characters,6 7 8 9 10 11 12,15 16
1572,"Joe Dante 's "" Matinee "" depicts "" Mant "" , an early-'60s sci - fi / horror movie about a man who turns into an ant .",director,4,0 1
264,"Churchill 's first professional job was as a Borstal girl in the film "" Scrubbers "" directed by Mai Zetterling and produced by George Harrison .",director,14,18 19
1023,"Padilla wrote , "" "" God of War "" is the best thing to happen to Greek mythology "" since Harry Hamlin played Perseus in "" Clash of the Titans "" .",characters,26 27 28 29,23
1667,"Bob Dylan recorded "" If Not for You "" for his album "" New Morning "" , on August 12 , 1970 .",performer,13 14,0 1
2574,"Fifteen years later , Gameloft developed a high definition remake for the PlayStation Network and Xbox Live Arcade , titled "" Earthworm Jim HD "" , in 2010 .",publisher,21 22 23,4
1964,"Sometime after portraying Old Deuteronomy in "" Cats "" at the New London Theatre , Inocian returned to "" Miss Saigon "" .",characters,7,3 4
1984,"EVA 's alias , Tatyana , is the name of Tatiana Romanova , the Bond Girl in "" From Russia with Love "" .",characters,18 19 20 21,10 11
1980,"While in college , he played Queequeg in "" Moby Dick "" , the title role in "" Othello "" , Hud in "" Hair "" , and Joe in "" Show Boat "" .",characters,9 10,6
2573,"The scars that Ged bears from his encounter with the shadow in "" A Wizard of Earthsea "" make Tenar realize that he has confronted death in a way that she has never done .",characters,13 14 15 16,3
522,"The 1993 film , "" King of the Hill "" , directed by Steven Soderbergh , is a screen adaptation of Hotchner 's 1973 autobiographical novel of the same name .",director,5 6 7 8,13 14
426,"In early 2014 , MGM chairman Gary Barber and his cohorts approached Antoine Fuqua to read the script by Richard Wenk and Nic Pizzolatto , while Fuqua was making "" Southpaw "" .",director,30,12 13
1826,"Lou Solverson is a fictional character in the FX television series "" Fargo "" .",characters,12,0 1
108,"187 , 189.Neal Alpert , "" George Harrison 's Concert for Bangladesh "" , Gadfly Online , 3 December 2001 ( retrieved 24 August 2014 ) .",performer,9 10 11,6 7
1997,"Amongst their cover versions were The Beatles ' "" Across the Universe "" , The Rolling Stones ' "" Rocks Off "" and Scott Walker 's "" Montague Terrace ( in Blue ) "" .",performer,9 10 11,5 6
1987,"Von Neumann , J. , and O.Morgenstern ( 1947 ) : Theory of Games and Economic Behavior , Princeton University Press , Princeton .",publisher,11 12 13 14 15 16,18 19 20
2666,""" Sonic CD "" marks the video game debuts of Amy Rose and Metal Sonic , both designed by artist Kazuyuki Hoshino .",characters,1 2,10 11
1005,It attained some cachet abroad for various reasons ; it is referenced by the Franz Ferdinand song of the same name .,performer,16 17 18 19 20,14 15
1115,"In 1999 , YZ performed vocals for two tracks on Aim 's album "" Cold Water Music "" .",performer,14 15 16,10
245,"The Roots ' album "" Things Fall Apart "" was nominated for the Best Rap Album award .",performer,5 6 7,0 1
2521,"Avalon Hill 's "" Empires in Arms "" . "" """,publisher,4 5 6,0 1
1797,It was adapted by director Gordon Hessler into a 1988 film starring Meg Tilly .,director,8 9 10,5 6
1969,Akuji the Heartless is an action - adventure video game developed by Crystal Dynamics and published by Eidos Interactive .,publisher,0 1 2,17 18
764,"His book , "" Western Involvement in Nkrumah 's Downfall "" , was reviewed by Professor E. Ofori Bekoe , in "" Africa Today "" , an academic journal published by Indiana University Press .",publisher,22 23,31 32 33
1087,"Versions of this song were called "" The Red Queen Theme "" , possibly referring to the Red Queen character from "" Through the Looking - Glass "" .",characters,22 23 24 25 26,8 9
1833,"In 2008 , she was approached by Kiran Rao for the lead role in Rao 's directorial debut film "" Dhobi Ghat "" - a role Dogra initially turned down , but eventually accepted .",director,20 21,7 8
2357,"Shankar Nag directed "" Malgudi Days "" and introduced Vishnuvardhan as the main character Venkat Rao , in an episode called "" Rupees Forty - five a Month "" .",director,4 5,0 1
2766,"The movie "" Man on the Moon "" depicts comedian Andy Kaufman undergoing psychic surgery .",characters,3 4 5 6,10 11
2589,"In 1990 , Atari Corporation released "" Midnight Mutants "" for the Atari 7800 , featuring Al Lewis ' likeness in his Grampa Munster character on the box art and label art .",publisher,7 8,3 4
1390,"The Neustadt International Prize for Literature is a biennial award for literature sponsored by the University of Oklahoma and its international literary publication , "" World Literature Today "" .",publisher,25 26 27,15 16 17
2349,Asha O Bhalobasha ( English : Hope and Love ) is a 1989 Bengali film directed by Sujit Guha and produced by Mamani Films under the banner of Mamani Films .,director,0 1 2,17 18
1394,""" China Review International "" appears in two issues each year published by the University of Hawaii Press .",publisher,1 2 3,14 15 16 17
1467,"A Fall from Grace is an upcoming American mystery / thriller film co - written and directed by Jennifer Lynch and starring Vincent D'Onofrio , Forest Whitaker and Tim Roth .",director,0 1 2 3,18 19
622,"Other film roles include Monsod in Miramax 's "" The Great Raid "" directed by John Dahl and Tony in the short film "" Sweet and Sour "" .",director,9 10 11,15 16
637,"This section is compounded of the Semjaza and Azazel myths , and in its present composite form is already presupposed by 1 Enoch 88 - 90 .",characters,21 22,8
2722,"Other iconic appearances for the western audience include a pair of Ninjato carried by the character Leonardo in the "" Teenage Mutant Ninja Turtles "" franchise .",characters,20 21 22 23,16
753,"This film features two hit singles , "" One Way or Another "" , performed by Blondie , and "" Summer Fun "" , performed by The Barracudas .",performer,8 9 10 11,16
473,"The electro - industrial music project Unter Null covered the song for the 2010 album "" Moving On "" .",performer,16 17,6 7
1419,"In 2009 he also starred as the poet John Keats in the film "" Bright Star "" .",characters,14 15,8 9
279,"The edited version of the song is on the single itself , and is also on Amorphis ' greatest hits compilation album , "" Chapters "" .",performer,24,16
1399,"Along the way , they score points for good deeds , flee from rabid fans , and drop a nod to Nintendo game "" Duck Hunt "" .",publisher,24 25,21
2189,"It was succeeded as Spanish representative at the 1990 Contest by Azúcar Moreno with "" Bandido "" .",performer,15,11 12
1027,"In 1988 collaborated in rejuvenated TBO of Editions B with new series , like "" Fortunato "" or "" Historias extraordinarias "" .",publisher,5,7 8
411,"In the Thai text "" Ramakien "" , an epic influenced by the Ramayana , Ravana is a yaksa or a rakshasa ..",characters,5,15
2207,Lingvisticae Investigationes : International Journal of Linguistics and Language Resources is a peer - reviewed academic journal of linguistics published by John Benjamins Publishing Company .,publisher,0 1,21 22 23 24
1848,""" Trouble on My Mind "" is a song by American hip hop recording artist Pusha T , released as the lead single from his debut EP "" "" .",performer,1 2 3 4,15 16
886,"Bannon produced 18 films , from Sean Penn 's drama "" The Indian Runner "" ( 1991 ) to Julie Taymor 's film "" Titus "" ( 1999 ) .",director,11 12 13,6 7
275,"Barlow also contributed the introduction for the 1944 Arkham House volume "" Jumbee and Other Uncanny Tales "" by his fellow Floridian and "" Weird Tales "" author Henry S. Whitehead .",publisher,12 13 14 15 16,8 9
128,"The album was most noted for a countrified cover of AC / DC 's "" Back in Black "" .",performer,15 16 17,10 11 12
2443,"It was first published in book form together with "" The Wheels of If "" in the paperback collection "" The Virgin & the Wheels "" by Popular Library in 1976 .",publisher,20 21 22 23 24,27 28
709,Lords of Magic was developed by Impressions Games for Microsoft Windows and released by Sierra Entertainment in November 1997 .,publisher,0 1 2,14 15
2798,"She made her film debut in Mike Leigh 's "" All or Nothing "" in 2002 .",director,10 11 12,6 7
657,"The Emily Windsnap books are published by Orion Children 's Books in the U.K. , by Candlewick Press in the U.S.",publisher,1 2,16 17
1545,""" I Won "" by Future was produced by Metro Boomin and features a guest appearance from fellow American rapper Kanye West .",performer,1 2,5
1315,"The episode was directed by Rod Hardy , who directed the earlier season eight episodes "" Roadrunners "" and "" Salvage"".Hardy , 4:304:35 .",director,16,5 6
2246,"Calling "" Freakum Dress "" one of the best dance track that Beyoncé has ever sung , Norman Mayers of "" Prefix Magazine "" chose it as one of the standout songs of the album .",performer,2 3,12
2109,"Clear and Present Danger ( 1994 ) has Jack Ryan appointed as acting CIA Deputy Director of Intelligence , as Vice Admiral James Greer ( James Earl Jones ) has become sick with cancer .",characters,0 1 2 3,8 9
308,Agent Armstrong is an action platformer video game for PlayStation and Microsoft Windows developed by King of the Jungle and published by Virgin Interactive .,publisher,0 1,22 23
695,Medal of Honor : Warfighter is a first - person shooter video game developed by Danger Close Games and published by Electronic Arts .,publisher,0 1 2,21 22
238,"The use of Journey 's song "" Any Way You Want It "" as Brody 's ringtone alludes to the pilot episode , where Chuck had the same ringtone when receiving a call from Morgan .",performer,7 8 9 10 11,3
433,"The dark and moody video — with Gothic imagery inspired by Jean Cocteau 's 1946 film , "" La Belle et la Bête "" — was shot in and around Paris in late September 1985 .",director,18 19 20 21 22,11 12
1379,"The song became the first number - one single by a Danish act since Aqua 's "" Turn Back Time "" ( 1998 ) .",performer,17 18 19,14
1449,"Martin had three top tens with his band Coldplay in 2005 - "" Speed of Sound "" ( 2 ) , "" Fix You "" ( 4 ) and "" Talk "" ( 10 ) .",performer,30,8
2116,"Focusing on the Macintosh game market because it was smaller and easier to compete , Bungie became the biggest Mac developer with games including the shooters "" Pathways into Darkness "" and "" Marathon "" .",publisher,27 28 29,15
880,"The result was that all rights granted to Interplay to develop a "" Fallout "" online game were returned to Bethesda .",publisher,12 13 14,8
1446,"Strategic Simulations ( SSI ) 's "" Computer Bismarck "" , released in 1980 , was the first historical computer wargame .",publisher,7 8,0 1
684,"TDG created twelve SSI games from 1981 through 1988 , the last being "" Battles of Napoleon "" .",publisher,14 15 16,3
436,"She also voiced Tiana , an African - American princess in Walt Disney Pictures ' 2009 animated film "" The Princess and the Frog "" .",characters,19 20 21 22 23,3
12,"He also appeared as the King of France in "" Henry V "" , and most recently Giles Corey in "" The Crucible "" at the same venue .",characters,21 22,17 18
1555,Miss Hobbs is a 1920 American comedy film directed by Donald Crisp and written by Elmer Blaney Harris .,director,0 1,10 11
741,"The story was loosely adapted as "" The Haunting of Morella "" ( 1990 ) , directed by Jim Wynorski .",director,7 8 9 10,18 19
7,"The only other artist to have three albums reach 200 weeks on chart is Oasis , with "" Definitely Maybe "" , "" ( What 's the Story ) Morning Glory ? """,performer,18 19,14
1485,Pavan Wadeyar began his career by working as an assistant director to Yogaraj Bhat in Pancharangi ( 2010 ) .,director,15,12 13
2228,"In the 19th century , he faced opposition from Abraham van Helsing and Jonathan Harker in England , the exploits of which were recorded in the 1897 novel by Bram Stoker , "" Dracula "" .",characters,33,9 10 11
623,""" The National union catalog , pre-1956 imprints : a cumulative author list representing Library of Congress printed cards and titles reported by other American libraries , Volume 360 "" .",publisher,2 3 4,14 15 16
2729,"Referred to by River in the episode "" Shindig "" .",characters,8,3
428,"On 18 August 2017 , Cambridge University Press has deleted over 300 politically - sensitive articles from the China Quarterly on its Chinese website .",publisher,17 18 19,5 6 7
1146,"The manga was originally serialized in the magazine "" Business Jump "" by Shueisha between May 2000 and July 2003 issues .",publisher,9 10,13
1275,"Gas Powered Games ' Chris Taylor – who was working with Stardock on "" Demigod "" at the time – called the bill "" an awesome framework for the industry to aspire to . """,publisher,14,11
106,"In 2003 , her only releases were Tamil language film "" Pudhiya Geethai "" and the Hindi film Deepak Bahry 's "" Parwana "" .",director,22,18 19
2661,""" Last Last One Forever and Ever "" was written and directed by series creators Dave Willis and Matt Maiellaro , who have written and directed every episode of the series .",director,1 2 3 4 5 6,15 16
1750,"Inspector Pratap is a 1988 Telugu , Action film , produced by Y. Anilbabu on Krishna Chitra banner and directed by Muthyala Subbaiah .",director,0 1,21 22
198,PlayStation Move Heroes is a 2011 action - adventure video game developed by Nihilistic Software and published by Sony Computer Entertainment .,publisher,0 1 2,18 19 20
2751,"In 1986 , Díaz played the role of Jago , opposite Plácido Domingo in Franco Zeffirelli 's film adaptation of "" Otello "" .",director,17 18,14 15
1532,"Players fight through an extensive dungeon crawl , much like the Blizzard title "" Diablo "" , and can equip different weapons and items .",publisher,14,11
1110,"The Outside Tour was a tour by English rock musician David Bowie , opening on 14 September 1995 at Meadows Music Theatre – Hartford , Connecticut .",performer,1,10 11
1602,"Ken Wiederhorn is a film and television director , known mainly for the horror films "" Shock Waves "" and "" Return of the Living Dead Part II "" .",director,16 17,0 1
1414,"As an actor , he is best remembered for his role as Charlotte Rampling 's lover in François Ozon "" Under the Sand "" , "" ( Sous le sable ) "" ( 2000 ) .",director,27 28 29,17 18
508,"Following the conclusion of the television series "" Star Trek : Deep Space Nine "" , the character of Kira Nerys takes charge of the Deep Space Nine space station as its permanent commanding officer .",characters,8 9 10 11 12 13,19 20
1063,"After "" NBA Jam Extreme "" , Acclaim started publishing titles exclusive to home consoles with a more realistic style .",publisher,2 3 4,7
1129,""" Elgar "" , a drama documentary made in 1962 by the British director Ken Russell , was filmed on location in Malvern and Worcester .",director,1,14 15
1817,""" Of Human Action "" was written by frequent writing partners Glen Whitman and Robert Chiappetta , and was directed by executive producer Joe Chappelle .",director,1 2 3,23 24
1770,""" Conan the Indestructible , "" in "" Conan the Victorious "" , Tor Books , 1984 .",publisher,8 9 10,13 14
343,"X Japan released their first album "" Vanishing Vision "" on the indie label Extasy Records in 1988 ; their album "" Blue Blood "" was released on CBS Sony in 1989 .",performer,22 23,0 1
1931,"He returned in the 1944 film "" The Three Caballeros "" along with Donald and a Mexican rooster named Panchito Pistoles .",characters,7 8 9,19 20
621,"Anggun 's sixth French - language studio album , "" Toujours un ailleurs "" , was released in November 2015 by TF1 Musique under Universal Music Group .",performer,10 11 12,0
978,"In 2000 , he portrayed Secretary of Defense Robert McNamara in "" Thirteen Days "" , a historical drama about the Cuban Missile Crisis .",characters,12 13,8 9
1521,"The Best : Sittin ' In Again is the 10th release by singer / songwriter duo Loggins and Messina , a compilation album released in mid-2005 .",performer,3 4 5,16 17 18
2608,An earlier collection with the same title but different contents was issued in hardcover by Gnome Press in 1955 .,publisher,2 3 4 5 6,15 16
1439,"She also co - starred in the television movie "" Ring of Fire "" , where she played Maybelle Carter .",characters,10 11 12,18 19
2670,"The theme song is "" Tightrope "" by Stephanie McIntosh .",performer,5,8 9
269,"He sang ( and co - wrote several tracks ) on Warrant 's 2006 album "" Born Again "" .",performer,16 17,11
2156,"Genius Jones is a comic book character from the Golden Age of Comic Books who first appeared in the DC Comics published , Adventure Comics # 77 ( August 1942 ) .",publisher,23 24,19 20
1475,"Hines ' "" Doctor Who "" debut came in 1966 , when he was cast to play the part of Jamie McCrimmon , the companion of the Second Doctor ( played by Patrick Troughton ) .",performer,27 28,32 33
1510,"Nintendo released a "" Animal Crossing : New Leaf ""- themed special edition 3DS XL handheld bundled with a digital copy of the game alongside its standard release in Japan .",publisher,4 5 6 7 8,0
1291,"Jeevan Prabhat ( Dawn Of Life ) is a 1937 Hindi film social drama , produced by Bombay Talkies and directed by Franz Osten .",director,0 1,22 23
1476,"He is currently co - editor of Philosophical Papers , published by Routledge .",publisher,7 8,12
2542,"NCSoft has released "" Lineage 2 "" , "" City of Heroes "" , "" Guild Wars "" , "" Exteel "" , and "" "" .",publisher,20,0
263,"Venicile Vyapari , ( ) is a 2011 Malayalam film directed by Shafi , starring Mammootty , Kavya Madhavan and Poonam Bajwa .",director,0 1,12
2762,""" Ducks on the Wall "" is a song by the British rock band the Kinks .",performer,1 2 3 4,14 15
2072,"As featured performer Kaz James , Sony BMG , 2008 ( from James ' debut solo album "" If They Knew "" )",performer,18 19 20,3 4
403,""" Just One Fix "" is the third single from industrial metal band Ministry 's 1992 album "" "" .",performer,1 2 3,13
961,"Although he considers Jetrel a monster , Neelix agrees to be examined , and Jetrel informs him that he has incipient metremia .",characters,3,7
2055,"Frost co - composed with Daníel Bjarnason , "" Music for Solaris "" , which was inspired by both Stanislaw Lem 's original novel and the 1972 Tarkovsky film "" Solaris "" .",director,11,27
750,"2 "" , and Common 's albums "" Like Water for Chocolate "" and "" Electric Circus "" .",performer,8 9 10 11,4
199,"Tendance ( French for "" Trend "" ) is a reissue of French singer Amanda Lear 's studio album "" Heart "" .",performer,20,14 15
170,"Kallu Kondoru Pennu is a 1998 Indian Malayalam film directed by Shyamaprasad and starring Suresh Gopi , Dileep and Vijayashanti .",director,0 1 2,11
2375,"In 2009 , Splash was nominated for Best R&B ; Album for Jazmine Sullivan 's "" Fearless "" .",performer,16,12 13
830,Later Adolf Brand in Berlin published the first LGBT periodical magazine Der Eigene .,publisher,11 12,1 2
1924,"Author Janet Evanovich said that "" The Concrete Blonde "" was "" a classic in Connelly 's Harry Bosch detective series -- and one of my favorites "" .",characters,6 7 8,17 18
1440,"The anthology series spanned four volumes , and it was released under Enterbrain 's Magi - Cu Comics imprint between April 25 and October 26 , 2009 .",publisher,14 15 16 17,12
1664,"Kelly , State Legislature Near the end of her life , several reporters tried to record Kate 's life story , her relationship with Doc Holliday and her time in Tombstone .",characters,30,24 25
714,"She appears in the sagas "" Tochmarc Emire "" ( "" the wooing of Emer "" ) and "" Aided Óenfhir Aífe "" ( "" the death of Aífe 's only son "" ) .",characters,6 7,14
294,""" Waking Sleeping Beauty "" ( documentary film ) , Don Hahn , 2009 .",director,1 2 3,10 11
783,""" Power Of A Woman "" is a song by Eternal written by pop hit songwriters Carl Sturken and Evan Rogers .",performer,1 2 3 4,10
882,"In February 2012 , Dean Parisot , best known for directing "" Galaxy Quest "" and "" Fun With Dick and Jane "" , entered final negotiations to direct the sequel .",director,12 13,4 5
1922,"Producer and director James Beveridge had previously used footage of the building of the Alaska Highway in his NFB documentary "" Pincers on Japan "" ( 1941).Leach and Sloniowski 2003 , p. 118 .",director,21 22 23,3 4
234,"In the "" "" episode "" Dedede 's Raw Deal "" , a smaller Squishy was seen as part of King Dedede 's sushi shop plot which gave Kirby hiccups .",characters,28,20 21
2440,"Hors Satan ( "" Outside Satan "" ) is a 2011 French drama film written and directed by Bruno Dumont .",director,4 5,18 19
2680,"Hagiwara co - starred in Kiyoshi Kurosawa 's "" Cure "" with Koji Yakusho .",director,9,5 6
